Date,Account,Category,Note,Income/Expense,Amount,Type
12/5/2021 19:45,CUB - online payment,Food,Milk with bharath,Expense,25.0,Expense
12/5/2021 18:41,CUB - online payment,Apparel,Full hand and a hoodie,Expense,1800.0,Expense
12/5/2021 12:23,CUB - online payment,Household,Rent,Expense,4800.0,Expense
12/5/2021 12:23,CUB - online payment,Allowance,From dad,Income,8000.0,Expense
12/4/2021 21:05,CUB - online payment,Food,Dinner,Expense,324.0,Expense
12/4/2021 20:20,CUB - online payment,Food,Snack,Expense,65.0,Expense
12/4/2021 13:54,CUB - online payment,Other,For company,Expense,30.0,Expense
12/4/2021 10:13,CUB - online payment,Food,Breakfast,Expense,200.0,Expense
12/3/2021 21:59,CUB - online payment,Food,Milk with bharath,Expense,25.0,Expense
12/3/2021 21:59,CUB - online payment,Apparel,Belt,Expense,130.0,Expense
12/3/2021 21:28,CUB - online payment,Apparel,Mask,Expense,20.0,Expense
12/3/2021 21:28,CUB - online payment,Food,Snack,Expense,40.0,Expense
12/3/2021 21:28,CUB - online payment,Allowance,From dad,Income,1000.0,Expense
12/2/2021 20:07,CUB - online payment,Food,Ice cream,Expense,504.0,Expense
12/2/2021 19:48,CUB - online payment,Food,Vadapaav,Expense,75.0,Expense
12/1/2021 19:57,CUB - online payment,Beauty,Showergel,Expense,196.0,Expense
12/1/2021 14:00,CUB - online payment,Food,Lunch with company,Expense,160.0,Expense
11/30/2021 14:24,CUB - online payment,Gift,Bharath birthday,Expense,115.0,Expense
11/30/2021 14:17,CUB - online payment,Food,Lunch with company,Expense,128.0,Expense
11/30/2021 10:11,CUB - online payment,Food,Breakfast,Expense,70.0,Expense
11/29/2021 20:47,CUB - online payment,Food,Lunch with company,Expense,40.0,Expense
11/29/2021 20:47,CUB - online payment,Food,Dinner,Expense,50.0,Expense
11/29/2021 20:09,CUB - online payment,Food,Panipoori,Expense,40.0,Expense
11/29/2021 9:29,CUB - online payment,Food,Breakfast,Expense,40.0,Expense
11/28/2021 19:59,CUB - online payment,Food,Snack,Expense,94.0,Expense
11/28/2021 13:10,CUB - online payment,Food,Zomato,Expense,269.4,Expense
11/27/2021 23:14,CUB - online payment,Food,Dinner with gowdham,Expense,120.0,Expense
11/27/2021 22:34,CUB - online payment,Food,Dinner with gowdham,Expense,130.0,Expense
11/27/2021 18:41,CUB - online payment,Transportation,Rapido,Expense,35.0,Expense
11/27/2021 13:46,CUB - online payment,Food,Lunch with company,Expense,75.0,Expense
11/27/2021 13:46,CUB - online payment,Allowance,From dad,Income,2000.0,Expense
11/27/2021 9:33,CUB - online payment,Food,Breakfast,Expense,30.0,Expense
11/26/2021 21:56,CUB - online payment,Food,Beer,Expense,150.0,Expense
11/26/2021 20:57,CUB - online payment,Food,Snack,Expense,102.0,Expense
11/26/2021 20:15,CUB - online payment,Food,Panipoori,Expense,40.0,Expense
11/26/2021 14:14,CUB - online payment,Petty cash,Cashback,Income,3.0,Expense
11/26/2021 14:14,CUB - online payment,Food,Lunch with company,Expense,150.0,Expense
11/26/2021 9:22,CUB - online payment,Food,Breakfast,Expense,60.0,Expense
11/25/2021 20:27,CUB - online payment,Food,Lunch with company,Expense,145.0,Expense
11/25/2021 20:27,CUB - online payment,Transportation,Rapido,Expense,58.0,Expense
11/25/2021 20:27,CUB - online payment,Food,Dinner,Expense,95.0,Expense
11/24/2021 19:26,CUB - online payment,Food,Snack,Expense,15.0,Expense
11/24/2021 19:23,CUB - online payment,Food,Dinner,Expense,70.0,Expense
11/24/2021 19:06,CUB - online payment,Food,Panipoori,Expense,20.0,Expense
11/24/2021 19:06,CUB - online payment,Transportation,Rapido,Expense,58.0,Expense
11/23/2021 22:53,CUB - online payment,Transportation,Rapido,Expense,50.0,Expense
11/23/2021 22:53,CUB - online payment,Food,Dinner,Expense,179.0,Expense
11/22/2021 14:16,CUB - online payment,Food,Dinner,Expense,90.0,Expense
11/22/2021 14:16,CUB - online payment,Food,Lunch with company,Expense,97.0,Expense
11/21/2021 17:07,CUB - online payment,Transportation,Rapido,Expense,130.0,Expense
11/21/2021 15:50,CUB - online payment,Food,Lunch,Expense,875.0,Expense
11/21/2021 13:30,CUB - online payment,Other,Got from gobi,Income,2000.0,Expense
